10 - Detailed Results,,,,,,,,,,,,,
NCT OF Delhi,14,SHALIMAR BAGH,5 MOHIT,MALE,34,SC,BSP,Elephant,581,,581,0.497418730683287,189373
NCT OF Delhi,14,SHALIMAR BAGH,6 SURESH,MALE,32,GENERAL,IND,Battery torch,303,,303,0.25941114526168,189373
NCT OF Delhi,14,SHALIMAR BAGH,7 VANDANA,FEMALE,45,GENERAL,IND,FLUTE,172,1,173,0.148112634093302,189373
NCT OF Delhi,14,SHALIMAR BAGH,8 SHARVAN,MALE,34,GENERAL,IND,Razor,120,,120,0.102737087232348,189373
NCT OF Delhi,14,SHALIMAR BAGH,9 SHEHNAZ,FEMALE,35,GENERAL,IND,Lady Finger,119,,119,0.101880944838746,189373
NCT OF Delhi,14,SHALIMAR BAGH,10 SHYAM KUMAR,MALE,32,GENERAL,IND,Bat,109,,109,0.0933195209027165,189373
NCT OF Delhi,14,SHALIMAR BAGH,11 DR. ASHWANI KUMAR,MALE,44,GENERAL,BLokSP,Electric Pole,100,,100,0.0856142393602904,189373
NCT OF Delhi,14,SHALIMAR BAGH,12 POONAM KAUSHIK,FEMALE,49,GENERAL,IND,Bricks,55,,55,0.0470878316481597,189373
NCT OF Delhi,14,SHALIMAR BAGH,13 SAURABH GUPTA,MALE,30,GENERAL,JKiP,Tractor Chalata Kissan,43,,43,0.0368141229249249,189373
 TURNOUT , TOTAL : ,,,,,,,,116652,151,116803,61.6788032084827,
NCT OF Delhi,15,SHAKUR BASTI,1 SATYENDAR JAIN,MALE,55,GENERAL,AAAP,Broom,51055,110,51165,51.5958251399183,146226
NCT OF Delhi,15,SHAKUR BASTI,2 DR. S. C. VATS,MALE,74,GENERAL,BJP,Lotus,43388,185,43573,43.9398981495487,146226
NCT OF Delhi,15,SHAKUR BASTI,3 DEV RAJ ARORA,MALE,64,GENERAL,INC,Hand,3367,15,3382,3.41047748701659,146226
NCT OF Delhi,15,SHAKUR BASTI,4 NOTA,,,,NOTA,NOTA,638,3,641,0.646397418444007,146226
NCT OF Delhi,15,SHAKUR BASTI,5 ASHA RAM,MALE,46,SC,BSP,Elephant,286,3,289,0.291433469470075,146226
NCT OF Delhi,15,SHAKUR BASTI,6 PRAVEEN YADAV,MALE,28,GENERAL,AKBHJSP,Water Tank,115,,115,0.115968335602279,146226
 TURNOUT , TOTAL : ,,,,,,,,98849,316,99165,67.8162570267941,
NCT OF Delhi,16,TRI NAGAR,1 PREETI TOMAR,FEMALE,50,GENERAL,AAAP,Broom,58400,104,58504,52.3774138965236,167978
NCT OF Delhi,16,TRI NAGAR,2 TILAK RAM GUPTA,MALE,68,GENERAL,BJP,Lotus,47649,145,47794,42.7889737414613,167978
NCT OF Delhi,16,TRI NAGAR,3 KAMAL KANT SHARMA,MALE,55,GENERAL,INC,Hand,4066,9,4075,3.64826271072634,167978
NCT OF Delhi,16,TRI NAGAR,4 NOTA,,,,NOTA,NOTA,514,2,516,0.4619640634932,167978
NCT OF Delhi,16,TRI NAGAR,5 ARUNA,FEMALE,43,SC,BSP,Elephant,269,3,272,0.243515940446028,167978
NCT OF Delhi,16,TRI NAGAR,6 SUBHASH,MALE,60,SC,ASSP,COMPUTER,159,,159,0.142349391657788,167978
NCT OF Delhi,16,TRI NAGAR,7 DEVANAND RAM,MALE,48,SC,PMPT,Football,156,,156,0.13966355407934,167978
NCT OF Delhi,16,TRI NAGAR,8 BALJEET,MALE,42,SC,IND,FLUTE,121,,121,0.10832878233077,167978
NCT OF Delhi,16,TRI NAGAR,9 SUDHIR KUMAR,MALE,39,GENERAL,VPI,BUCKET,100,,100,0.089527919281628,167978
 TURNOUT , TOTAL : ,,,,,,,,111434,263,111697,66.4950172046339,
NCT OF Delhi,17,WAZIRPUR,1 RAJESH GUPTA,MALE,41,GENERAL,AAAP,Broom,57276,55,57331,52.6402291779526,181241
NCT OF Delhi,17,WAZIRPUR,2 DR. MAHENDER NAGPAL,MALE,60,GENERAL,BJP,Lotus,45470,171,45641,41.9066944569419,181241
NCT OF Delhi,17,WAZIRPUR,3 HARIKISHAN JINDAL,MALE,55,GENERAL,INC,Hand,3488,13,3501,3.21455133090321,181241
NCT OF Delhi,17,WAZIRPUR,4 MUSTQIM AHMED,MALE,33,GENERAL,BSP,Elephant,888,1,889,0.816262820100816,181241
NCT OF Delhi,17,WAZIRPUR,5 NOTA,,,,NOTA,NOTA,477,,477,0.437972289300438,181241
NCT OF Delhi,17,WAZIRPUR,6 RAJESH GUPTA,MALE,42,GENERAL,IND,Razor,255,,255,0.234136129500234,181241
NCT OF Delhi,17,WAZIRPUR,7 SURENDRA KUMAR,MALE,36,GENERAL,AAPP,Battery torch,207,,207,0.19006344630019,181241
NCT OF Delhi,17,WAZIRPUR,8 BALWANT KUMAR PARJAPATI,MALE,28,GENERAL,IND,COMPUTER,153,,153,0.14048167770014,181241
NCT OF Delhi,17,WAZIRPUR,9 NATHU RAM,MALE,72,GENERAL,CPIM,"Hammer, Sickle and Star",139,,139,0.127627145100128,181241
NCT OF Delhi,17,WAZIRPUR,10 SURAJ,MALE,27,GENERAL,IND,Tea Filter,73,,73,0.067027205700067,181241
NCT OF Delhi,17,WAZIRPUR,11 NARESH KUMAR NAGPAL,MALE,58,GENERAL,IND,Hat,70,,70,0.0642726630000643,181241
NCT OF Delhi,17,WAZIRPUR,12 KAMAL KISHORE,MALE,67,GENERAL,PPID,Basket containing Fruits,62,,62,0.0569272158000569,181241
NCT OF Delhi,17,WAZIRPUR,13 VIJAY KUMAR,MALE,49,GENERAL,ABHM,BUCKET,47,,47,0.0431545023000432,181241
NCT OF Delhi,17,WAZIRPUR,14 JUGAL KISHOR CHAWLA,MALE,47,GENERAL,RVNP,Gas Stove,38,,38,0.0348908742000349,181241
NCT OF Delhi,17,WAZIRPUR,15 MADAN SAH,MALE,44,GENERAL,﻿AIFB,Lion,28,,28,0.0257090652000257,181241
 TURNOUT , TOTAL : ,,,,,,,,108671,240,108911,60.0918114554654,
NCT OF Delhi,18,MODEL TOWN,1 AKHILESH PATI TRIPATHI,MALE,35,GENERAL,AAAP,Broom,52594,71,52665,52.5792957479309,168355
NCT OF Delhi,18,MODEL TOWN,2 KAPIL MISHRA,MALE,39,GENERAL,BJP,Lotus,41357,175,41532,41.4644130067989,168355
NCT OF Delhi,18,MODEL TOWN,3 AKANKSHA OLA,FEMALE,41,GENERAL,INC,Hand,4068,17,4085,4.07835228577419,168355
NCT OF Delhi,18,MODEL TOWN,4 NOTA,,,,NOTA,NOTA,840,1,841,0.839631400816669,168355
NCT OF Delhi,18,MODEL TOWN,5 PARMOD KUMAR SAHANI,MALE,30,GENERAL,BSP,Elephant,492,,492,0.49119934506754,168355
NCT OF Delhi,18,MODEL TOWN,6 RAJESH KUMAR TIWARI,MALE,62,GENERAL,PHRC,Sitar,242,,242,0.241606181923465,168355
NCT OF Delhi,18,MODEL TOWN,7 VIKAS,MALE,38,SC,AAPP,Battery torch,171,,171,0.170721723590547,168355
NCT OF Delhi,18,MODEL TOWN,8 BABU RAM PAL,MALE,51,GENERAL,BSKP,BUCKET,88,,88,0.0878567934267145,168355
NCT OF Delhi,18,MODEL TOWN,9 AMBIKA PRASAD VERMA,MALE,49,GENERAL,SatBP,Black Board,47,,47,0.0469235146710861,168355
 TURNOUT , TOTAL : ,,,,,,,,99899,264,100163,59.4951144902141,
NCT OF Delhi,19,SADAR BAZAR,1 SOM DUTT,MALE,44,GENERAL,AAAP,Broom,68736,54,68790,55.7103289654837,184903
NCT OF Delhi,19,SADAR BAZAR,2 JAI PARKASH (J.P),MALE,50,GENERAL,BJP,Lotus,43065,81,43146,34.9422569202611,184903
NCT OF Delhi,19,SADAR BAZAR,3 SATBIR SHARMA,MALE,68,GENERAL,INC,Hand,9833,24,9857,7.98279855520821,184903
NCT OF Delhi,19,SADAR BAZAR,4 ASAD,MALE,46,GENERAL,BSP,Elephant,573,1,574,0.464860137028458,184903
NCT OF Delhi,19,SADAR BAZAR,5 NOTA,,,,NOTA,NOTA,405,3,408,0.330423233288521,184903
NCT OF Delhi,19,SADAR BAZAR,6 VIRENDER KUMAR,MALE,52,GENERAL,RRP,CALCULATOR,189,,189,0.153063703655712,184903
NCT OF Delhi,19,SADAR BAZAR,7 RAJEEV KUMAR,MALE,45,GENERAL,IND,COMPUTER,134,,134,0.108521356031034,184903
NCT OF Delhi,19,SADAR BAZAR,8 SOM DUTT s/o DAYA CHANDER SHARMA,MALE,45,GENERAL,IND,Ice Cream,110,,110,0.0890846952493562,184903
NCT OF Delhi,19,SADAR BAZAR,9 SOMDUTT s/o KRISHAN KUMAR RASTOGI,MALE,34,GENERAL,IND,Brush,108,,108,0.0874649735175497,184903
NCT OF Delhi,19,SADAR BAZAR,10 PRATAP AAMZARE,MALE,31,GENERAL,IND,Tea Filter,103,,103,0.0834156691880335,184903
NCT OF Delhi,19,SADAR BAZAR,11 JAI PRAKASH,MALE,49,GENERAL,IND,Frock,59,,59,0.047781791088291,184903
 TURNOUT , TOTAL : ,,,,,,,,123315,163,123478,66.7798791798943,
NCT OF Delhi,20,CHANDNI CHOWK,1 PARLAD SINGH SAWHNEY,MALE,69,GENERAL,AAAP,Broom,50845,46,50891,65.9218383657819,125717
NCT OF Delhi,20,CHANDNI CHOWK,2 SUMAN KUMAR GUPTA,MALE,63,GENERAL,BJP,Lotus,21260,47,21307,27.6000984468711,125717
NCT OF Delhi,20,CHANDNI CHOWK,3 ALKA LAMBA,FEMALE,44,GENERAL,INC,Hand,3876,5,3881,5.02726719258022,125717
NCT OF Delhi,20,CHANDNI CHOWK,4 NOTA,,,,NOTA,NOTA,263,,263,0.34067798805684,125717
NCT OF Delhi,20,CHANDNI CHOWK,5 ANIL SINGH JADON,MALE,35,GENERAL,SHS,Bow & Arrow,242,,242,0.313475563154963,125717
NCT OF Delhi,20,CHANDNI CHOWK,6 SUDESH,MALE,47,GENERAL,BSP,Elephant,218,,218,0.282387077552818,125717
NCT OF Delhi,20,CHANDNI CHOWK,7 SANDEEP SHARMA,MALE,52,GENERAL,IND,Sewing Machine,118,,118,0.152851720877213,125717
NCT OF Delhi,20,CHANDNI CHOWK,8 VIPIN KUMAR,MALE,64,GENERAL,IND,COCONUT FARM,97,,97,0.125649295975336,125717
NCT OF Delhi,20,CHANDNI CHOWK,9 VIJAY KUMAR SHARMA,MALE,41,GENERAL,IND,Key,62,,62,0.0803119211388749,125717
NCT OF Delhi,20,CHANDNI CHOWK,10 SATPAL,MALE,30,SC,ASSP,COMPUTER,36,,36,0.0466327284032177,125717
NCT OF Delhi,20,CHANDNI CHOWK,11 KRISHNA AVTAR,MALE,58,GENERAL,IND,Gas Cylinder,29,,29,0.0375652534359253,125717
NCT OF Delhi,20,CHANDNI CHOWK,12 RAMESH CHAND GOYAL,MALE,70,GENERAL,RVNP,Gas Stove,28,,28,0.0362698998691693,125717
NCT OF Delhi,20,CHANDNI CHOWK,13 SADEQUE MUNIRODDIN SHAIKH,MALE,32,GENERAL,TPSTP,Kettle,27,,27,0.0349745463024132,125717
 TURNOUT , TOTAL : ,,,,,,,,77101,98,77199,61.4069696222468,
NCT OF Delhi,21,MATIA MAHAL,1 SHOAIB IQBAL,MALE,61,GENERAL,AAAP,Broom,67250,32,67282,75.9647736253811,125793
NCT OF Delhi,21,MATIA MAHAL,2 RAVINDER GUPTA,MALE,48,GENERAL,BJP,Lotus,17024,17,17041,19.2401490346619,125793
NCT OF Delhi,21,MATIA MAHAL,3 MIRZA JAVED ALI,MALE,51,GENERAL,INC,Hand,3403,6,3409,3.84893304730721,125793
NCT OF Delhi,21,MATIA MAHAL,4 TEJ RAM,MALE,52,SC,BSP,Elephant,222,1,223,0.251778254487976,125793
NCT OF Delhi,21,MATIA MAHAL,5 NOTA,,,,NOTA,NOTA,216,,216,0.243874901208084,125793
NCT OF Delhi,21,MATIA MAHAL,6 ISRAR AHMED,MALE,36,GENERAL,RPPRINAT,COMPUTER,173,,173,0.195325731060178,125793
NCT OF Delhi,21,MATIA MAHAL,7 SUHAIL MIRZA,MALE,26,GENERAL,RTPP,Sewing Machine,100,,100,0.112905046855594,125793
NCT OF Delhi,21,MATIA MAHAL,8 SHOAIBUDDIN,MALE,38,GENERAL,IND,Brush,77,,77,0.0869368860788077,125793
NCT OF Delhi,21,MATIA MAHAL,9 MOHD. SUHAIL,MALE,30,GENERAL,IND,Robot,49,,49,0.0553234729592413,125793
 TURNOUT , TOTAL : ,,,,,,,,88514,56,88570,70.4093232532812,
NCT OF Delhi,22,BALLIMARAN,1 IMRAN HUSSAIN,MALE,38,GENERAL,AAAP,Broom,65612,32,65644,64.6535082535555,141744
NCT OF Delhi,22,BALLIMARAN,2 LATA,FEMALE,43,SC,BJP,Lotus,29434,38,29472,29.0273017373833,141744
NCT OF Delhi,22,BALLIMARAN,3 HAROON YUSUF,MALE,61,GENERAL,INC,Hand,4797,5,4802,4.72954339518575,141744
NCT OF Delhi,22,BALLIMARAN,4 KRISHAN KUMAR,MALE,49,GENERAL,BRRTD,Tube light,827,,827,0.81452153015798,141744
NCT OF Delhi,22,BALLIMARAN,5 NOTA,,,,NOTA,NOTA,339,1,340,0.334869794744514,141744
NCT OF Delhi,22,BALLIMARAN,6 DEEP CHAND,MALE,45,GENERAL,BSP,Elephant,167,,167,0.164480163889217,141744
NCT OF Delhi,22,BALLIMARAN,7 HANSA,FEMALE,42,SC,PPID,Basket containing Fruits,124,,124,0.122128983965646,141744
NCT OF Delhi,22,BALLIMARAN,8 ARIF NABI,MALE,35,GENERAL,IND,Batsman,59,,59,0.0581097584997833,141744
NCT OF Delhi,22,BALLIMARAN,9 SAJID ALI,MALE,62,GENERAL,RRP,School Bag,56,,56,0.0551550250167435,141744
NCT OF Delhi,22,BALLIMARAN,10 ZAFAR MIRZA,MALE,56,GENERAL,RTPP,Sewing Machine,41,,41,0.0403813576015443,141744
 TURNOUT , TOTAL : ,,,,,,,,101456,76,101532,71.6305452082628,
NCT OF Delhi,23,KAROL BAGH(SC),1 VISHESH RAVI,MALE,36,SC,AAAP,Broom,67423,71,67494,62.2288195757,177413
NCT OF Delhi,23,KAROL BAGH(SC),2 YOGENDER CHANDOLIYA,MALE,57,SC,BJP,Lotus,35686,48,35734,32.946404698463,177413
NCT OF Delhi,23,KAROL BAGH(SC),3 GOURAV KUMAR,MALE,34,SC,INC,Hand,3365,,3365,3.10249767197426,177413
NCT OF Delhi,23,KAROL BAGH(SC),4 LEKHRAJ JATAV,MALE,65,SC,BSP,Elephant,782,1,783,0.721918477609463,177413
NCT OF Delhi,23,KAROL BAGH(SC),5 NOTA,,,,NOTA,NOTA,445,2,447,0.412129705608468,177413
NCT OF Delhi,23,KAROL BAGH(SC),6 GAURAV,MALE,31,SC,SHS,Bow & Arrow,192,,192,0.17702215542914,177413
NCT OF Delhi,23,KAROL BAGH(SC),7 DHARMENDER KANWAR,MALE,34,SC,IND,Balloon,171,,171,0.157660357179078,177413
NCT OF Delhi,23,KAROL BAGH(SC),8 RAHUL BHARTI,MALE,33,SC,IND,SHIP,106,,106,0.0977309816431713,177413
NCT OF Delhi,23,KAROL BAGH(SC),9 SUNIL,MALE,54,SC,IND,Door Bell,102,,102,0.0940430200717309,177413
NCT OF Delhi,23,KAROL BAGH(SC),10 DEEPAK KUMAR,MALE,37,SC,IND,School Bag,67,,67,0.0617733563216271,177413
 TURNOUT , TOTAL : ,,,,,,,,108339,122,108461,61.1347533720753,
NCT OF Delhi,24,PATEL NAGAR(SC),1 RAAJ KUMAR ANAND,MALE,53,SC,AAAP,Broom,73341,122,73463,60.8066945883755,198185
NCT OF Delhi,24,PATEL NAGAR(SC),2 PRAVESH RATN,MALE,36,SC,BJP,Lotus,42367,161,42528,35.2012184018408,198185
NCT OF Delhi,24,PATEL NAGAR(SC),3 KRISHNA TIRATH,FEMALE,64,SC,INC,Hand,3359,23,3382,2.79934444683563,198185
NCT OF Delhi,24,PATEL NAGAR(SC),4 NOTA,,,,NOTA,NOTA,766,1,767,0.634860198321387,198185
NCT OF Delhi,24,PATEL NAGAR(SC),5 PRADEEP KUMAR RAWAL,MALE,46,SC,BSP,Elephant,673,1,674,0.557882364626616,198185
 TURNOUT , TOTAL : ,,,,,,,,120506,308,120814,60.9602139415193,
NCT OF Delhi,25,MOTI NAGAR,1 SHIV CHARAN GOEL,MALE,57,GENERAL,AAAP,Broom,60553,69,60622,53.8307167720395,181883
NCT OF Delhi,25,MOTI NAGAR,2 SUBHASH SACHDEVA,MALE,63,GENERAL,BJP,Lotus,46412,138,46550,41.3351566384883,181883
NCT OF Delhi,25,MOTI NAGAR,3 RAMESH POPLI,MALE,59,GENERAL,INC,Hand,3139,13,3152,2.79889180933437,181883
NCT OF Delhi,25,MOTI NAGAR,4 MD FAIZAN,MALE,25,GENERAL,IND,Battery torch,617,,617,0.547879519784045,181883
NCT OF Delhi,25,MOTI NAGAR,5 NITYA NAND SINGH,MALE,45,GENERAL,BSP,Elephant,581,,581,0.515912481352561,181883
NCT OF Delhi,25,MOTI NAGAR,6 NOTA,,,,NOTA,NOTA,567,2,569,0.5052568018754,181883
NCT OF Delhi,25,MOTI NAGAR,7 MD AMJAD,MALE,29,GENERAL,RVNP,Gas Stove,171,,171,0.151843432549549,181883
NCT OF Delhi,25,MOTI NAGAR,8 SHIV CHARAN,MALE,46,GENERAL,IND,Pen Nib with Seven Rays,147,,147,0.130532073595226,181883
NCT OF Delhi,25,MOTI NAGAR,9 NARENDER GOEL,MALE,59,GENERAL,IND,Cauliflower,116,,116,0.103004901612559,181883
NCT OF Delhi,25,MOTI NAGAR,10 AJIT SINGH,MALE,68,GENERAL,IND,Tractor Chalata Kissan,91,,91,0.0808055693684734,181883
 TURNOUT , TOTAL : ,,,,,,,,112394,222,112616,61.9167266869361,
NCT OF Delhi,26,MADIPUR(SC),1 Girish Soni,MALE,56,SC,AAAP,Broom,64319,121,64440,55.9987486313155,175048
NCT OF Delhi,26,MADIPUR(SC),2 Kailash Sankla,MALE,54,SC,BJP,Lotus,41566,155,41721,36.2558006152563,175048
NCT OF Delhi,26,MADIPUR(SC),3 Jai Prakash Panwar,MALE,47,SC,INC,Hand,6763,25,6788,5.89881293776179,175048
NCT OF Delhi,26,MADIPUR(SC),4 Hansraj Jaluthria,MALE,41,SC,BSP,Elephant,841,10,851,0.739524132297478,175048
NCT OF Delhi,26,MADIPUR(SC),5 NOTA,,,,NOTA,NOTA,513,4,517,0.449276117976259,175048
NCT OF Delhi,26,MADIPUR(SC),6 Girish Prakash,MALE,40,SC,IND,Bat,221,,221,0.19205033282931,175048
NCT OF Delhi,26,MADIPUR(SC),7 Manoj,MALE,37,SC,IND,Key,218,3,221,0.19205033282931,175048
NCT OF Delhi,26,MADIPUR(SC),8 Randhir Kumar,MALE,43,SC,ASSP,Gas Cylinder,126,,126,0.109494759893634,175048
NCT OF Delhi,26,MADIPUR(SC),9 Sunil Meghwal,MALE,33,SC,APoI,Coat,105,,105,0.0912456332446947,175048
NCT OF Delhi,26,MADIPUR(SC),10 Ramesh Kumar,MALE,48,SC,﻿AIFB,Lion,84,,84,0.0729965065957558,175048
 TURNOUT , TOTAL : ,,,,,,,,114756,318,115074,65.738540286093,
NCT OF Delhi,27,RAJOURI GARDEN,1 A DHANWATI CHANDELA A,FEMALE,60,GENERAL,AAAP,Broom,62058,154,62212,55.7015973067832,180248
NCT OF Delhi,27,RAJOURI GARDEN,2 RAMESH KHANNA,MALE,68,GENERAL,BJP,Lotus,39087,153,39240,35.1335864193109,180248
NCT OF Delhi,27,RAJOURI GARDEN,3 SUKHPAL SINGH,MALE,40,GENERAL,IND,Key,5215,3,5218,4.67194327053936,180248
NCT OF Delhi,27,RAJOURI GARDEN,4 AMANDEEP SINGH SUDAN,MALE,37,GENERAL,INC,Hand,3379,19,3398,3.04240383926653,180248
NCT OF Delhi,27,RAJOURI GARDEN,5 NOTA,,,,NOTA,NOTA,684,10,694,0.62137382708975,180248
NCT OF Delhi,27,RAJOURI GARDEN,6 RAM BHAROSA GAUTAM,MALE,70,GENERAL,AAPP,Battery torch,341,,341,0.30531480552969,180248
NCT OF Delhi,27,RAJOURI GARDEN,7 HARCHINT SINGH ARORA,MALE,63,GENERAL,BSP,Elephant,270,,270,0.241744860683332,180248
NCT OF Delhi,27,RAJOURI GARDEN,8 IQBAL SINGH (SONU),MALE,47,GENERAL,IND,Auto- Rickshaw,109,,109,0.097593295609197,180248
NCT OF Delhi,27,RAJOURI GARDEN,9 MANISH CHANDILA,MALE,33,GENERAL,IND,BELT,88,,88,0.078790917556049,180248
NCT OF Delhi,27,RAJOURI GARDEN,10 NAND KISHORE GOEL,MALE,62,GENERAL,SWAP,Batsman,73,,73,0.0653606475180861,180248
NCT OF Delhi,27,RAJOURI GARDEN,11 DEVENDER SINGH,MALE,64,GENERAL,RVNP,Gas Stove,45,,45,0.0402908101138887,180248
 TURNOUT , TOTAL : ,,,,,,,,111349,339,111688,61.9635169322267,
NCT OF Delhi,28,HARI NAGAR,1 RAJ KUMARI DHILLON,FEMALE,57,GENERAL,AAAP,Broom,57892,195,58087,53.6689703599675,175191
NCT OF Delhi,28,HARI NAGAR,2 TAJINDER PAL SINGH BAGGA,MALE,34,GENERAL,BJP,Lotus,37672,284,37956,35.0691107990243,175191
NCT OF Delhi,28,HARI NAGAR,3 SURINDER KUMAR SETIA,MALE,61,GENERAL,INC,Hand,10334,60,10394,9.60344445265726,175191
NCT OF Delhi,28,HARI NAGAR,4 NOTA,,,,NOTA,NOTA,578,14,592,0.546973168748614,175191
NCT OF Delhi,28,HARI NAGAR,5 MAY SINGH SHAYAM,MALE,43,SC,BSP,Elephant,496,3,499,0.46104664054993,175191
NCT OF Delhi,28,HARI NAGAR,6 SANTOSH,FEMALE,59,GENERAL,IND,Tube light,224,,224,0.206962820607584,175191
NCT OF Delhi,28,HARI NAGAR,7 RAJEEV TANEJA,MALE,56,GENERAL,IND,Battery Torch,126,3,129,0.119188410082046,175191
NCT OF Delhi,28,HARI NAGAR,8 SUMIT,MALE,40,GENERAL,IND,Bangles,66,,66,0.0609801167861631,175191
NCT OF Delhi,28,HARI NAGAR,9 DILIP JAISWAL,MALE,35,GENERAL,NYP,Laptop,63,,63,0.0582082932958829,175191
NCT OF Delhi,28,HARI NAGAR,10 HARPREET SINGH,MALE,44,GENERAL,IND,Key,58,,58,0.0535885874787494,175191
NCT OF Delhi,28,HARI NAGAR,11 SABIR KHAN,MALE,45,GENERAL,IND,Brush,48,,48,0.0443491758444822,175191
NCT OF Delhi,28,HARI NAGAR,12 VIKAS AHUJA,MALE,39,GENERAL,IND,Bat,33,,33,0.0304900583930815,175191
NCT OF Delhi,28,HARI NAGAR,13 NAVEEN KUMAR,MALE,45,GENERAL,IND,Cake,29,,29,0.0267942937393747,175191
